DISCLAIMER,EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.202 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.50 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.110 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.95 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.104 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.44 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.302 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.51 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.66 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions.167 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.202 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.50 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.110 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.95 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.104 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.44 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.302 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.51 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.66 (kg CO2 / kg DM),EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions.167 (kg CO2 / kg DM),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.direct_n2o_nitrogen_emissions_for_feed_50 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.ammonia_nitrogen_emissions_for_feed_50 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.nitrogen_fertilizer_applied_for_feed_50 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.phosphorus_fertilizer_applied_for_feed_50 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.potassium_fertilizer_applied_for_feed_50 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.manure_nitrogen_applied_for_feed_50 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.direct_n2o_nitrogen_emissions_for_feed_51 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.ammonia_nitrogen_emissions_for_feed_51 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.nitrogen_fertilizer_applied_for_feed_51 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.phosphorus_fertilizer_applied_for_feed_51 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.potassium_fertilizer_applied_for_feed_51 (kg),EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.manure_nitrogen_applied_for_feed_51 (kg)
"Under construction, use the results with caution.",95.35499999999999,599.3024750735291,5043.887458727114,254.18442174490806,254.18442174490806,527.9753647198831,907.2263347941354,1232.9289256244547,1607.272401836178,867.7472975451882,0.0,66.72495242007524,4605.579980810349,0.0,0.0,57.61773490623784,173.45893157456496,137.27145693755523,50.6451643733748,86.89189187546084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,100.24499999999999,591.926404815494,5058.62606111955,250.67688922491539,250.67688922491539,532.0454729507645,895.1526013954947,1245.6068580216213,1623.7996244771668,876.6701489338277,0.0,65.90371780569436,4619.0378171873845,0.0,0.0,58.061904147374754,171.1504702621852,138.68298862842985,51.165937271815665,87.78538176621107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,102.69,588.9695468090418,5065.342537154791,249.34762923218645,249.34762923218645,534.0438542588994,890.4965212459035,1251.9458242202047,1632.0632357976615,881.1315746281474,0.0,65.57450806937676,4625.1706399005425,0.0,0.0,58.27998667952999,170.26024181852247,139.38875447386715,51.426323721036105,88.2321267115862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,102.69,628.8067561056691,5150.386038951779,268.2145518248786,268.2145518248786,537.0403597784792,955.5212683886976,1251.9458242202047,1632.0632357976615,881.1315746281474,0.0,70.00989087759878,4702.823968326125,0.0,0.0,58.60699409731705,182.69277682408395,139.38875447386715,51.426323721036105,88.2321267115862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,119.80499999999999,581.5934765510069,5238.013538896436,245.8400967121938,245.8400967121938,562.3073255636239,878.422787847263,1331.182901702496,1735.3583773038426,936.8993958071442,0.0,64.75327345499588,4782.8367487094965,0.0,0.0,61.36436770558347,167.95178050614274,148.21082754183342,54.681154336291556,93.81643852877521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,117.35999999999999,584.168671238081,5241.1966535825495,247.14148610945924,247.14148610945924,562.405190606876,882.8220077466524,1331.182901702496,1735.3583773038426,936.8993958071442,0.0,65.03998967946394,4785.743254731875,0.0,0.0,61.375047677596335,168.79289804676486,148.21082754183342,54.681154336291556,93.81643852877521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,124.695,576.0614238574806,5264.108671581164,243.2094473221993,243.2094473221993,567.6640365533414,869.3674877982826,1347.0303171989542,1756.017405605079,948.0529600429434,0.0,64.1373474942102,4806.664247176265,0.0,0.0,61.948943377856786,166.22043452185792,149.97524215542668,55.33212045934265,94.933300892213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,122.24999999999999,577.9054414219893,5267.9446114282555,244.08633045219747,244.08633045219747,567.7985744038994,872.3859211479427,1347.0303171989542,1756.017405605079,948.0529600429434,0.0,64.34265614780543,4810.166848674003,0.0,0.0,61.963625438282875,166.79754984995287,149.97524215542668,55.33212045934265,94.933300892213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,124.695,576.7926009800459,5270.976436865387,243.63395358946664,243.63395358946664,568.7794286543138,870.7482743480117,1350.1998002982461,1760.1492112653261,950.2836728901033,0.0,64.21875506508306,4812.935212292902,0.0,0.0,62.07066566015388,166.4844367343851,150.32812507814535,55.462313683952864,95.15667336490056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,127.13999999999999,573.1045658510285,5278.345738061605,241.88018732947032,241.88018732947032,570.8144827697546,864.7114076486914,1356.538766496829,1768.4128225858205,954.7450985844231,0.0,63.808137757892624,4819.664130481419,0.0,0.0,62.292750280722345,165.3302060781952,151.03389092358262,55.722700133173305,95.60341831027569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
