DISCLAIMER,AnimalModuleReporter.report_enteric_methane_emission.enteric_methane_emission_for_CALF_PEN_0 (g),AnimalModuleReporter.report_enteric_methane_emission.enteric_methane_emission_for_GROWING_PEN_1 (g),AnimalModuleReporter.report_enteric_methane_emission.enteric_methane_emission_for_CLOSE_UP_PEN_2 (g),AnimalModuleReporter.report_enteric_methane_emission.enteric_methane_emission_for_LAC_COW_PEN_3 (g)
"Under construction, use the results with caution.",842.5309543092563,98607.0591246848,34259.326661433784,218683.25273583893
,849.5252857019568,98797.57736941663,32598.4845017887,220754.94423632204
,856.4999302980079,98797.57736941663,33839.80102220018,220378.51657528695
,835.4609351305114,98579.80648674887,34683.4997494748,227085.60586070747
,942.7654290540034,98797.57736941663,33566.09477560746,231625.20057529662
,910.5704632634678,98854.34491879313,34508.44931881548,230837.56440501925
,918.392047532727,99289.10760508536,35276.10638363136,229714.05657687914
,926.1905152327853,99043.342487251,34716.80591438473,230161.89225649033
,950.6299947442665,99043.342487251,34023.5189814831,231056.82170217053
,991.87437841803,99043.342487251,31947.680321155225,233378.9175096436
,995.2088229816541,98853.09392114123,32015.611984900257,234458.2793348357
,975.7718973737639,98579.8586616384,32254.792708963934,234546.20977272853
,989.6981715334853,98579.76854534038,31950.32091706343,235692.16962546256
,969.8374790432479,98826.06174863715,32380.415971697974,235180.90609161544
,950.5454475181537,99071.05290396037,30846.60310424075,236606.5742305324
,975.4329844601438,99289.10760508536,30481.75599335756,237388.64834115672
,1000.6812279682945,99289.10760508536,30594.95837603304,237442.99285591813
,998.012740901697,99071.00846708326,29518.28491398617,238668.96939893314
,1012.7997903569185,98579.09827672622,29750.156263335666,239525.79450041713
,1021.6127406798792,98060.28201591353,31040.796504614365,239411.52916865077
,1002.4138801421091,97842.50226838246,28580.852706210866,241366.41200790263
,1028.0321192272197,98060.28201591353,27970.240477493313,242058.18804238582
,1036.8036202205383,98060.28201591353,27522.851775842806,242671.21925639498
,1034.6345095543088,97842.37875548162,27403.769782793992,243117.65331897113
,1015.5421998996409,98088.13069063498,27718.96898323476,242724.25605410966
,995.3942590157764,98334.75062046752,26759.530523728285,243505.4865331074
,1008.5221604856843,98580.56489173711,24790.510909094697,245541.37098581283
,989.6506703826572,98825.0121936341,23529.951033249352,247130.71043626955
,958.7797750136815,99099.22667678895,23083.286563373265,247905.3747157852
,939.004356500804,99317.08023300645,22434.287209847877,248881.72278508532
,891.1165097136094,99240.83074666144,21402.55333538307,236965.57861019848
,915.7706245781015,99674.74800530085,20033.616035557705,238361.37248015296
,940.3068512718548,99429.84690455072,19099.471360482607,240177.94723957108
,893.0533854136688,99485.09849524226,18854.57025973248,240482.04552108186
,873.2882920060083,99702.140113853,18462.551019374227,240874.06476144012
,825.2300221794424,99975.13975227554,18991.30920150594,240486.31897896397
,832.2915413828537,100409.45130755122,18853.452876204403,240486.31897896397
,812.3011475564801,100436.48277161026,18482.668581284386,240857.103273884
,763.3573750755153,100710.14691424505,16977.237046573962,242524.23607792807
,769.8373282471642,101144.1546098016,16719.80258900639,243413.13822143176
,747.773796434379,101172.67960435776,17109.774548002053,243168.85084743766
,754.0374434869763,101389.05571055172,16972.488866339103,243168.85084743766
,760.2834987980682,101389.05571055172,16186.286872999592,243955.05284077718
,766.5122108319563,101389.05571055172,16322.971115632265,244102.1265910574
,761.4794432213807,101417.12502978677,15792.225124614873,244636.50075864836
,783.8787784716687,101389.05571055172,15643.862736202438,245171.2712363299
,806.858378754654,101389.05571055172,15006.01658394467,245177.70780668597
,785.0261213310505,101417.48941442606,15535.987691728566,244789.34643715672
,791.4302416737302,101633.95681130185,15664.18272250885,244522.7802727942
,797.8166840159777,101633.95681130185,16976.055582629313,243211.5502717973
,804.1856968667637,101633.95681130185,17090.058352795866,242683.96910286776
,782.5971998983325,101661.89713371634,16162.35091086716,243474.42462758554
,805.6228775547644,101878.85791205197,16828.478993055072,243085.1159867611
,811.9758836463575,101878.85791205197,15761.431166289261,244017.76783008475
,835.1143303899659,101878.85791205197,15362.578088218577,244159.445706319
,785.3567085639589,101935.14437715148,14969.947242399361,244687.31222611104
,791.5137825420097,102368.66011355222,14715.158942964781,245083.37767067834
,814.420612059207,102368.66011355222,13786.492232531138,246157.12513348562
,820.7542172223204,102368.66011355222,13525.162995701532,246693.55890252622
,798.7203809186911,102397.01072434692,13915.398687740284,246441.6153671827
,804.8420619396926,103280.86212570671,13778.282416084963,247018.8928423899
,827.6454761340455,102783.123031125,13615.569066472422,247695.32276970387
,833.943653955932,102783.123031125,13117.829971890698,247839.15258335136
,672.1881071543344,102702.2907772952,12980.099767905791,248225.75233462712
,666.6168567834532,104055.17543892929,13400.254247997485,247700.86846041714
